#SEARCH PARAMETERS:
#Initial robustness threshold:	0.01
#Max restart:	5
#Max iterations:	5
#Initial depth bound:	10
#Probes at depth:	60
#Neighborhood size:	5
#Initial fail bound:	32
#Min heuristic bias:	0.5
#Max heuristic bias:	1.5
#
#RELAXED PLAN PARAMETERS:
#Relaxed plan type: INCREMENTAL_ROBUSTNESS_RP
#ignore_poss_del_in_rp:	1
#use_lower_bound_in_rp:	1
#use_upper_bound_in_rp:	0
#use_robustness_threshold:	1
#clauses_from_rpg_for_false_preconditions:	1
#current_actions_affect_candidate_action:	1
#candidate_actions_affect_current_actions:	1
#
domain,problem,inc_amount,plan_id,plan_length,plan_robustness,total_time,search_time,rp_time,clause_time,wmc_time,rp_success_rate
zenotravel.pddl.0p_2a_4d.0,pfile2,6,1,4,0.0625,0.012,0,0,0,0.012,1
zenotravel.pddl.0p_2a_4d.0,pfile2,6,2,5,0.125,0.084,0,0.06,0,0.024,0.487805
zenotravel.pddl.0p_2a_4d.0,pfile2,6,3,6,0.25,0.106,0,0.07,0,0.036,0.882353
zenotravel.pddl.0p_2a_4d.0,pfile4,6,1,6,0.125,0.022,0,0.01,0,0.012,1
zenotravel.pddl.0p_2a_4d.0,pfile4,6,2,23,0.25,0.134,0,0.11,0,0.024,0.911111
zenotravel.pddl.0p_2a_4d.0,pfile4,6,3,8,0.5,0.266,0.01,0.22,0,0.036,0.684211
zenotravel.pddl.0p_2a_4d.0,pfile6,6,1,13,0.0625,0.102,0,0.09,0,0.012,1
zenotravel.pddl.0p_2a_4d.0,pfile6,6,2,11,0.125,0.214,0.01,0.18,0,0.024,0.891892
zenotravel.pddl.0p_2a_4d.0,pfile6,6,3,34,0.25,4.566,0.33,4.18,0.02,0.036,0.408046
zenotravel.pddl.0p_2a_4d.0,pfile8,6,1,10,0.0625,0.132,0.01,0.11,0,0.012,1
zenotravel.pddl.0p_2a_4d.0,pfile8,6,2,11,0.125,1.814,0.08,1.71,0,0.024,0.536082
zenotravel.pddl.0p_2a_4d.0,pfile10,6,1,34,0.03125,0.892,0.04,0.84,0,0.012,1
zenotravel.pddl.0p_2a_4d.0,pfile10,6,2,66,0.125,5.604,0.22,5.36,0,0.024,0.754045
zenotravel.pddl.0p_2a_4d.0,pfile10,6,3,43,0.25,8.326,0.45,7.84,0,0.036,0.918239
zenotravel.pddl.0p_4a_0d.0,pfile2,4,1,6,0.125,0.012,0,0,0,0.012,0.894737
zenotravel.pddl.0p_4a_0d.0,pfile4,4,1,10,0.0625,0.052,0.01,0.03,0,0.012,0.829268
zenotravel.pddl.0p_4a_0d.0,pfile4,4,2,13,0.125,0.204,0.01,0.17,0,0.024,0.740741
zenotravel.pddl.0p_4a_0d.0,pfile6,4,1,27,0.0625,0.162,0,0.15,0,0.012,0.885417
zenotravel.pddl.0p_4a_0d.0,pfile6,4,2,20,0.125,9.904,0.54,9.33,0.01,0.024,0.405744
zenotravel.pddl.0p_4a_0d.0,pfile8,4,1,19,0.0625,0.452,0.02,0.42,0,0.012,0.940476
zenotravel.pddl.0p_4a_0d.0,pfile8,4,2,23,0.125,33.604,1.83,31.66,0.09,0.024,0.607178
zenotravel.pddl.0p_4a_0d.0,pfile10,4,1,49,0.0625,1.232,0.06,1.14,0.02,0.012,0.930851
zenotravel.pddl.0p_4a_0d.0,pfile10,4,2,41,0.125,4.334,0.23,4.05,0.03,0.024,0.773684
zenotravel.pddl.0p_4a_2d.0,pfile2,6,1,6,0.0625,0.012,0,0,0,0.012,0.947368
zenotravel.pddl.0p_4a_2d.0,pfile4,6,1,12,0.03125,0.062,0.01,0.04,0,0.012,0.955556
zenotravel.pddl.0p_4a_2d.0,pfile4,6,2,8,0.125,0.294,0.01,0.26,0,0.024,0.895349
zenotravel.pddl.0p_4a_2d.0,pfile6,6,1,13,0.03125,0.092,0.01,0.07,0,0.012,1
zenotravel.pddl.0p_4a_2d.0,pfile6,6,2,15,0.0625,0.444,0.02,0.4,0,0.024,0.773585
zenotravel.pddl.0p_4a_2d.0,pfile8,6,1,36,0.015625,3.072,0.11,2.95,0,0.012,0.95977
zenotravel.pddl.0p_4a_2d.0,pfile8,6,2,25,0.03125,21.284,1.59,19.64,0.03,0.024,0.668041
zenotravel.pddl.0p_4a_2d.0,pfile8,6,3,31,0.0625,31.916,1.97,29.84,0.07,0.036,0.810427
zenotravel.pddl.0p_4a_2d.0,pfile10,6,1,35,0.03125,1.422,0.1,1.3,0.01,0.012,0.94
zenotravel.pddl.0p_4a_2d.0,pfile10,6,2,48,0.0625,3.954,0.21,3.69,0.03,0.024,0.914692
zenotravel.pddl.0p_4a_4d.0,pfile2,8,1,8,0.0625,0.012,0,0,0,0.012,1
zenotravel.pddl.0p_4a_4d.0,pfile4,8,1,6,0.0625,0.012,0,0,0,0.012,1
zenotravel.pddl.0p_4a_4d.0,pfile6,8,1,11,0.0625,0.062,0,0.05,0,0.012,1
zenotravel.pddl.0p_4a_4d.0,pfile6,8,2,18,0.125,0.544,0.02,0.5,0,0.024,0.721519
zenotravel.pddl.0p_4a_4d.0,pfile8,8,1,30,0.015625,17.732,0.41,17.26,0.05,0.012,0.516919
zenotravel.pddl.0p_4a_4d.0,pfile8,8,2,12,0.03125,21.044,0.77,20.19,0.06,0.024,0.455882
zenotravel.pddl.0p_4a_4d.0,pfile8,8,3,29,0.0625,22.336,0.81,21.4,0.09,0.036,0.823944
zenotravel.pddl.0p_4a_4d.0,pfile10,8,1,63,0.015625,3.742,0.24,3.48,0.01,0.012,0.860465
zenotravel.pddl.0p_4a_4d.0,pfile10,8,2,67,0.03125,33.734,3.32,30.34,0.05,0.024,0.437962
zenotravel.pddl.2p_0a_0d.0,pfile2,2,1,4,0.25,0.032,0,0.02,0,0.012,1
zenotravel.pddl.2p_0a_0d.0,pfile2,2,2,24,0.5,2.884,0.13,2.72,0.01,0.024,0.37182
zenotravel.pddl.2p_0a_0d.0,pfile4,2,1,7,0.25,0.122,0,0.11,0,0.012,1
zenotravel.pddl.2p_0a_0d.0,pfile4,2,2,8,0.5,15.214,0.79,14.35,0.05,0.024,0.217789
zenotravel.pddl.2p_0a_0d.0,pfile6,2,1,11,0.25,0.212,0.03,0.17,0,0.012,1
zenotravel.pddl.2p_0a_0d.0,pfile6,2,2,31,0.5,13.944,0.82,13.09,0.01,0.024,0.344891
zenotravel.pddl.2p_0a_0d.0,pfile8,2,1,10,0.25,0.542,0.05,0.47,0.01,0.012,1
zenotravel.pddl.2p_0a_0d.0,pfile8,2,2,14,0.5,88.954,8.26,80.04,0.63,0.024,0.295952
zenotravel.pddl.2p_0a_0d.0,pfile10,2,1,24,0.25,0.882,0.09,0.78,0,0.012,1
zenotravel.pddl.2p_0a_2d.0,pfile2,4,1,6,0.25,0.042,0,0.03,0,0.012,1
zenotravel.pddl.2p_0a_2d.0,pfile4,4,1,4,0.25,0.032,0,0.02,0,0.012,1
zenotravel.pddl.2p_0a_2d.0,pfile6,4,1,6,0.5,0.032,0,0.02,0,0.012,1
zenotravel.pddl.2p_0a_2d.0,pfile8,4,1,13,0.25,0.852,0.01,0.83,0,0.012,1
zenotravel.pddl.2p_0a_2d.0,pfile8,4,2,7,0.5,2.144,0.04,2.06,0.02,0.024,0.3125
zenotravel.pddl.2p_0a_2d.0,pfile10,4,1,28,0.25,2.102,0.11,1.96,0.02,0.012,1
zenotravel.pddl.2p_0a_2d.0,pfile10,4,2,12,0.5,4.424,0.29,4.07,0.04,0.024,0.365591
zenotravel.pddl.2p_0a_4d.0,pfile2,6,1,3,0.5,0.012,0,0,0,0.012,1
zenotravel.pddl.2p_0a_4d.0,pfile4,6,1,6,0.5,0.022,0,0.01,0,0.012,1
zenotravel.pddl.2p_0a_4d.0,pfile6,6,1,9,0.5,0.022,0,0.01,0,0.012,1
zenotravel.pddl.2p_0a_4d.0,pfile8,6,1,22,0.015625,0.412,0.01,0.39,0,0.012,1
zenotravel.pddl.2p_0a_4d.0,pfile8,6,2,11,0.125,0.484,0.02,0.44,0,0.024,1
zenotravel.pddl.2p_0a_4d.0,pfile8,6,3,11,0.25,0.546,0.03,0.48,0,0.036,0.973684
zenotravel.pddl.2p_0a_4d.0,pfile8,6,4,10,0.5,0.658,0.03,0.58,0,0.048,0.759259
zenotravel.pddl.2p_0a_4d.0,pfile10,6,1,33,0.015625,0.632,0.02,0.58,0.02,0.012,1
zenotravel.pddl.2p_0a_4d.0,pfile10,6,2,19,0.5,0.724,0.02,0.66,0.02,0.024,1
zenotravel.pddl.2p_2a_0d.0,pfile2,4,1,13,0.125,0.052,0,0.04,0,0.012,0.942029
zenotravel.pddl.2p_2a_0d.0,pfile2,4,2,7,0.25,0.084,0,0.06,0,0.024,0.896552
zenotravel.pddl.2p_2a_0d.0,pfile4,4,1,18,0.125,0.222,0.01,0.2,0,0.012,0.965909
zenotravel.pddl.2p_2a_0d.0,pfile4,4,2,9,0.25,0.314,0.03,0.25,0.01,0.024,0.95
zenotravel.pddl.2p_2a_0d.0,pfile6,4,1,36,0.125,0.782,0.01,0.76,0,0.012,1
zenotravel.pddl.2p_2a_0d.0,pfile6,4,2,30,0.25,1.554,0.04,1.49,0,0.024,0.823529
zenotravel.pddl.2p_2a_0d.0,pfile8,4,1,27,0.125,1.382,0.06,1.3,0.01,0.012,1
zenotravel.pddl.2p_2a_0d.0,pfile8,4,2,98,0.25,35.394,0.46,34.87,0.04,0.024,0.776596
zenotravel.pddl.2p_2a_0d.0,pfile10,4,1,83,0.125,5.462,0.2,5.24,0.01,0.012,0.990909
zenotravel.pddl.2p_2a_0d.0,pfile10,4,2,117,0.25,188.074,6.14,181.53,0.38,0.024,0.52426
zenotravel.pddl.2p_2a_2d.0,pfile2,6,1,4,0.125,0.012,0,0,0,0.012,1
zenotravel.pddl.2p_2a_2d.0,pfile2,6,2,9,0.25,0.354,0.01,0.31,0.01,0.024,0.342593
zenotravel.pddl.2p_2a_2d.0,pfile4,6,1,6,0.125,0.032,0.01,0.01,0,0.012,1
zenotravel.pddl.2p_2a_2d.0,pfile4,6,2,7,0.25,0.174,0.02,0.13,0,0.024,0.511628
zenotravel.pddl.2p_2a_2d.0,pfile6,6,1,11,0.125,0.062,0,0.05,0,0.012,1
zenotravel.pddl.2p_2a_2d.0,pfile6,6,2,13,0.25,0.544,0.01,0.51,0,0.024,0.444444
zenotravel.pddl.2p_2a_2d.0,pfile8,6,1,10,0.125,0.132,0,0.11,0.01,0.012,1
zenotravel.pddl.2p_2a_2d.0,pfile8,6,2,13,0.25,11.364,0.59,10.72,0.03,0.024,0.28139
zenotravel.pddl.2p_2a_2d.0,pfile10,6,1,23,0.125,0.252,0.01,0.23,0,0.012,1
zenotravel.pddl.2p_2a_4d.0,pfile2,8,1,3,0.0625,0.022,0,0.01,0,0.012,1
zenotravel.pddl.2p_2a_4d.0,pfile4,8,1,4,0.0625,0.012,0,0,0,0.012,1
zenotravel.pddl.2p_2a_4d.0,pfile4,8,2,5,0.125,0.264,0.01,0.23,0,0.024,0.384615
zenotravel.pddl.2p_2a_4d.0,pfile4,8,3,4,0.25,0.286,0.01,0.24,0,0.036,0.923077
zenotravel.pddl.2p_2a_4d.0,pfile4,8,4,4,0.5,0.318,0.01,0.26,0,0.048,0.571429
zenotravel.pddl.2p_2a_4d.0,pfile6,8,1,6,0.25,0.012,0,0,0,0.012,1
zenotravel.pddl.2p_2a_4d.0,pfile6,8,2,6,0.5,0.104,0,0.08,0,0.024,0.636364
zenotravel.pddl.2p_2a_4d.0,pfile8,8,1,6,0.125,0.062,0,0.05,0,0.012,1
zenotravel.pddl.2p_2a_4d.0,pfile8,8,2,6,0.25,35.274,2.02,33.07,0.16,0.024,0.565204
zenotravel.pddl.2p_2a_4d.0,pfile10,8,1,14,0.0625,0.072,0,0.06,0,0.012,1
zenotravel.pddl.2p_2a_4d.0,pfile10,8,2,14,0.125,0.594,0.05,0.51,0.01,0.024,1
zenotravel.pddl.2p_2a_4d.0,pfile10,8,3,12,0.25,0.756,0.05,0.66,0.01,0.036,0.9375
zenotravel.pddl.2p_4a_0d.0,pfile2,6,1,3,0.125,0.012,0,0,0,0.012,1
zenotravel.pddl.2p_4a_0d.0,pfile4,6,1,6,0.0625,0.032,0,0.02,0,0.012,0.875
zenotravel.pddl.2p_4a_0d.0,pfile4,6,2,6,0.125,0.064,0,0.04,0,0.024,0.722222
zenotravel.pddl.2p_4a_0d.0,pfile6,6,1,11,0.0625,0.092,0,0.08,0,0.012,1
zenotravel.pddl.2p_4a_0d.0,pfile6,6,2,32,0.125,0.494,0.01,0.46,0,0.024,0.60274
zenotravel.pddl.2p_4a_0d.0,pfile8,6,1,11,0.03125,0.242,0,0.23,0,0.012,0.945946
zenotravel.pddl.2p_4a_0d.0,pfile8,6,2,10,0.125,0.344,0,0.32,0,0.024,1
zenotravel.pddl.2p_4a_0d.0,pfile10,6,1,19,0.0625,0.352,0.02,0.32,0,0.012,1
zenotravel.pddl.2p_4a_0d.0,pfile10,6,2,36,0.125,2.594,0.13,2.44,0,0.024,0.615854
zenotravel.pddl.2p_4a_2d.0,pfile2,8,1,3,0.125,0.012,0,0,0,0.012,1
zenotravel.pddl.2p_4a_2d.0,pfile4,8,1,9,0.015625,0.102,0,0.09,0,0.012,0.818182
zenotravel.pddl.2p_4a_2d.0,pfile4,8,2,6,0.03125,0.134,0,0.11,0,0.024,0.923077
zenotravel.pddl.2p_4a_2d.0,pfile4,8,3,9,0.125,0.256,0.02,0.2,0,0.036,0.761905
zenotravel.pddl.2p_4a_2d.0,pfile6,8,1,9,0.125,0.072,0,0.06,0,0.012,1
zenotravel.pddl.2p_4a_2d.0,pfile8,8,1,10,0.0625,0.212,0.01,0.19,0,0.012,0.972973
zenotravel.pddl.2p_4a_2d.0,pfile8,8,2,11,0.125,1.054,0.07,0.96,0,0.024,0.596491
zenotravel.pddl.2p_4a_2d.0,pfile10,8,1,20,0.125,0.372,0.02,0.34,0,0.012,0.981481
zenotravel.pddl.2p_4a_4d.0,pfile2,10,1,3,0.25,0.012,0,0,0,0.012,1
zenotravel.pddl.2p_4a_4d.0,pfile4,10,1,5,0.125,0.012,0,0,0,0.012,1
zenotravel.pddl.2p_4a_4d.0,pfile6,10,1,8,0.25,0.032,0,0.02,0,0.012,1
zenotravel.pddl.2p_4a_4d.0,pfile8,10,1,7,0.125,0.042,0,0.03,0,0.012,1
zenotravel.pddl.2p_4a_4d.0,pfile10,10,1,17,0.125,0.102,0,0.09,0,0.012,0.972973
zenotravel.pddl.4p_0a_0d.0,pfile2,4,1,12,0.125,0.102,0,0.09,0,0.012,1
zenotravel.pddl.4p_0a_0d.0,pfile2,4,2,10,0.25,0.244,0,0.22,0,0.024,0.76087
zenotravel.pddl.4p_0a_0d.0,pfile2,4,3,4,0.5,0.896,0.04,0.82,0,0.036,0.196296
zenotravel.pddl.4p_0a_0d.0,pfile4,4,1,14,0.0625,0.192,0.01,0.17,0,0.012,1
zenotravel.pddl.4p_0a_0d.0,pfile4,4,2,13,0.125,0.404,0.01,0.37,0,0.024,0.859155
zenotravel.pddl.4p_0a_0d.0,pfile4,4,3,13,0.25,0.636,0.02,0.57,0.01,0.036,0.852459
zenotravel.pddl.4p_0a_0d.0,pfile4,4,4,9,0.5,1.428,0.06,1.31,0.01,0.048,0.314516
zenotravel.pddl.4p_0a_0d.0,pfile6,4,1,11,0.25,0.162,0,0.15,0,0.012,1
zenotravel.pddl.4p_0a_0d.0,pfile6,4,2,11,0.5,0.544,0.01,0.51,0,0.024,0.581395
zenotravel.pddl.4p_0a_0d.0,pfile8,4,1,23,0.0625,1.832,0.05,1.76,0.01,0.012,1
zenotravel.pddl.4p_0a_0d.0,pfile8,4,2,21,0.25,3.654,0.14,3.47,0.02,0.024,0.790476
zenotravel.pddl.4p_0a_0d.0,pfile8,4,3,12,0.5,10.336,0.66,9.53,0.11,0.036,0.376518
zenotravel.pddl.4p_0a_0d.0,pfile10,4,1,44,0.0625,2.642,0.11,2.49,0.03,0.012,1
zenotravel.pddl.4p_0a_0d.0,pfile10,4,2,63,0.125,7.164,0.36,6.69,0.09,0.024,0.892405
zenotravel.pddl.4p_0a_0d.0,pfile10,4,3,63,0.25,14.606,0.67,13.78,0.12,0.036,0.830619
zenotravel.pddl.4p_0a_2d.0,pfile2,6,1,20,0.0625,0.312,0.01,0.29,0,0.012,1
zenotravel.pddl.4p_0a_2d.0,pfile2,6,2,17,0.125,0.484,0.01,0.44,0.01,0.024,1
zenotravel.pddl.4p_0a_2d.0,pfile4,6,1,18,0.0625,0.322,0.01,0.3,0,0.012,1
zenotravel.pddl.4p_0a_2d.0,pfile4,6,2,6,0.125,218.224,0.67,217.36,0.17,0.024,0.973384
zenotravel.pddl.4p_0a_2d.0,pfile6,6,1,10,0.0625,0.112,0.01,0.09,0,0.012,1
zenotravel.pddl.4p_0a_2d.0,pfile8,6,1,29,0.0625,2.712,0.08,2.6,0.02,0.012,1
zenotravel.pddl.4p_0a_2d.0,pfile10,6,1,169,0.03125,52.112,1.17,50.83,0.1,0.012,1
zenotravel.pddl.4p_0a_4d.0,pfile2,8,1,2,0.125,0.012,0,0,0,0.012,1
zenotravel.pddl.4p_0a_4d.0,pfile4,8,1,3,0.125,0.012,0,0,0,0.012,1
zenotravel.pddl.4p_0a_4d.0,pfile6,8,1,4,0.25,0.012,0,0,0,0.012,1
zenotravel.pddl.4p_0a_4d.0,pfile8,8,1,4,0.125,0.022,0.01,0,0,0.012,1
zenotravel.pddl.4p_0a_4d.0,pfile10,8,1,9,0.25,0.052,0,0.03,0.01,0.012,1
zenotravel.pddl.4p_2a_0d.0,pfile2,6,1,3,0.125,0.102,0.01,0.08,0,0.012,1
zenotravel.pddl.4p_2a_0d.0,pfile4,6,1,7,0.125,0.732,0.08,0.62,0.02,0.012,1
zenotravel.pddl.4p_2a_0d.0,pfile6,6,1,24,0.125,25.152,1.5,23.48,0.16,0.012,1
zenotravel.pddl.4p_2a_0d.0,pfile6,6,2,9,0.25,28.164,1.87,26.08,0.19,0.024,0.552632
zenotravel.pddl.4p_2a_0d.0,pfile8,6,1,31,0.0625,78.402,6.1,71.86,0.43,0.012,1
zenotravel.pddl.4p_2a_0d.0,pfile8,6,2,62,0.125,394.244,16.89,375.67,1.66,0.024,1
zenotravel.pddl.4p_2a_2d.0,pfile2,8,1,18,0.015625,5.932,0.07,5.83,0.02,0.012,0.903226
zenotravel.pddl.4p_2a_2d.0,pfile2,8,2,13,0.03125,10.074,0.21,9.81,0.03,0.024,0.782609
zenotravel.pddl.4p_2a_2d.0,pfile2,8,3,15,0.0625,40.106,1.21,38.79,0.07,0.036,0.429167
zenotravel.pddl.4p_2a_2d.0,pfile2,8,4,6,0.09375,148.488,6.94,141.12,0.38,0.048,0.201258
zenotravel.pddl.4p_2a_2d.0,pfile6,8,1,25,0.03125,30.792,1.45,29.2,0.13,0.012,0.917355
zenotravel.pddl.4p_2a_2d.0,pfile6,8,2,14,0.046875,142.974,7.88,134.34,0.73,0.024,0.470588
zenotravel.pddl.4p_2a_2d.0,pfile6,8,3,10,0.0625,188.026,10.19,176.75,1.05,0.036,0.386555
zenotravel.pddl.4p_2a_2d.0,pfile6,8,4,10,0.25,502.038,28.85,470.31,2.83,0.048,0.245283
zenotravel.pddl.4p_2a_4d.0,pfile2,10,1,3,0.0625,0.032,0,0.02,0,0.012,1
zenotravel.pddl.4p_2a_4d.0,pfile2,10,2,3,0.125,2.704,0.14,2.54,0,0.024,0.190476
zenotravel.pddl.4p_2a_4d.0,pfile2,10,3,3,0.25,3.166,0.15,2.98,0,0.036,0.255814
zenotravel.pddl.4p_2a_4d.0,pfile4,10,1,4,0.125,0.042,0,0.03,0,0.012,1
zenotravel.pddl.4p_2a_4d.0,pfile4,10,2,4,0.25,0.864,0.03,0.81,0,0.024,0.363636
zenotravel.pddl.4p_2a_4d.0,pfile6,10,1,5,0.125,0.082,0.01,0.06,0,0.012,1
zenotravel.pddl.4p_2a_4d.0,pfile6,10,2,6,0.25,0.404,0.04,0.34,0,0.024,0.944444
zenotravel.pddl.4p_2a_4d.0,pfile8,10,1,6,0.03125,0.502,0.06,0.43,0,0.012,1
zenotravel.pddl.4p_2a_4d.0,pfile8,10,2,6,0.125,1.024,0.13,0.86,0.01,0.024,1
zenotravel.pddl.4p_2a_4d.0,pfile8,10,3,6,0.25,4.696,0.53,4.1,0.03,0.036,0.566667
zenotravel.pddl.4p_2a_4d.0,pfile10,10,1,12,0.125,0.552,0.05,0.49,0,0.012,1
zenotravel.pddl.4p_2a_4d.0,pfile10,10,2,12,0.25,57.694,7.08,50.18,0.41,0.024,0.261494
zenotravel.pddl.4p_4a_0d.0,pfile2,8,1,3,0.125,0.022,0,0.01,0,0.012,1
zenotravel.pddl.4p_4a_0d.0,pfile2,8,2,3,0.25,1.804,0.09,1.69,0,0.024,0.825843
zenotravel.pddl.4p_4a_0d.0,pfile4,8,1,5,0.0625,0.062,0,0.05,0,0.012,1
zenotravel.pddl.4p_4a_0d.0,pfile4,8,2,5,0.25,0.254,0.01,0.22,0,0.024,0.736842
zenotravel.pddl.4p_4a_0d.0,pfile6,8,1,8,0.25,0.112,0.01,0.09,0,0.012,1
zenotravel.pddl.4p_4a_0d.0,pfile8,8,1,7,0.0625,0.302,0.01,0.28,0,0.012,1
zenotravel.pddl.4p_4a_0d.0,pfile10,8,1,17,0.0625,0.602,0.04,0.55,0,0.012,1
zenotravel.pddl.4p_4a_4d.0,pfile2,12,1,3,0.015625,0.022,0,0.01,0,0.012,1
zenotravel.pddl.4p_4a_4d.0,pfile4,12,1,6,0.03125,0.042,0,0.03,0,0.012,1
zenotravel.pddl.4p_4a_4d.0,pfile6,12,1,9,0.03125,0.072,0.01,0.05,0,0.012,1
zenotravel.pddl.4p_4a_4d.0,pfile10,12,1,19,0.0117188,31.522,1.86,29.58,0.07,0.012,0.367992
